"participant_id","pilotNumber","demo_gend","demo_educ","demo_occu","demo_reve","demo_degre","demo_cours","demo_lsat","demo_age","spanLength","treatment","isLotteryFirst","completionCountLottery","completionCountMirror","wrongAnswerCountLottery","wrongAnswerCountMirror","noSwitchCounter","noSwitchCounterFirstPart","noSwitchCounterSecondPart","noSwitchCounterLottery","noSwitchCounterMirror","payment_spanMpl","payment_spanSpan","payment_calibration","payment_total","mplType","mirror_ev","mirror_rtChoice","mirror_subBlockNumber","mirror_accuracy","mirror_rtSpanMpl","mirror_EGEmpirical","mirror_noSwitch","mirror_noSwitchSure","mirror_noSwitchLottery","lottery_ev","lottery_rtChoice","lottery_subBlockNumber","lottery_accuracy","lottery_rtSpanMpl","lottery_EGEmpirical","lottery_noSwitch","lottery_noSwitchSure","lottery_noSwitchLottery","mirror_position","lottery_position","pred","prob","multiplier","aboveMedRtChoice","aboveMedImpactCogLoad"
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"A15",4,9444.69999999972,12,1,1493.70000000019,20.5,1,0,1,3,15531.2999999998,4,1,1765.70000000019,20.8888888888889,0,0,0,"high","high",0,50,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"GS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,10,1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"GS25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,25,1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"GS50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,50,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"GS75",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,4336.69999999972,13,1,1654,23.0416666666667,0,0,0,NA,"low",18.7,75,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"GS90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,90,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"LS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5,10,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"LS25",NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.3,7931,14,1,1886.29999999981,24.6527777777778,0,0,0,NA,"high",-6.3,25,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"LS50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.5,50,1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"LS75",-16.1,6059.70000000019,13,1,1502.20000000019,11.25,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",NA,-18.7,75,1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"LS90",-20.1,4837.39999999991,14,1,1693.89999999991,7.5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",NA,-22.5,90,1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"AS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"AS15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"GO90",8,5010.80000000028,16,1,1645.80000000028,23.18,0,0,0,10.5,7866.89999999991,15,1,2838,24.3,0,0,0,NA,NA,22.5,90,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"GO10",6.5,7300.69999999972,15,1,2206.20000000019,17.76,0,0,0,10.5,9860.89999999991,16,1,1662.19999999972,17.1,0,0,0,NA,NA,2.5,10,1,0,0
